sku,weight (kg),length (cm),width (cm),height (cm)
32MR50C-B.AEKQ,,,,
27MR400-B.AEKQ,5.3,,69,44.8
24MR400-B.AEKQ,4.1,,61.3,40
22MR410-B.AEKQ,3.5,,56.7,37.2
NX.KDHEK.007,2.9,,6.5,31
NX.KSJEK.003,2.9,,6.5,31
967V6ET#ABU,,,6.9,30.5
865Q8EA#ABU,,,48.3,30.5
SBP-140HMW,,,,
91610,0.7,,23,5.8
DS-12851,,,18.5,22.5
DS-12910,0.475,,15.5,47.5
NX.KB4EK.001,2.31,,6.3,31
98T45ET#ABU,5.9,,10,30.8
863K0ET#ABU,,,55.2,34.5
863K1ET#ABU,,,55.2,34.5
PF2-19-377302,,,,
580-ADGR,,,,
VY279HF,6,,67.9,44.5
0A001-00263300,,,,
PG248QP,11.4,,67.2,52
967V7ET#ABU,,,6.9,30.5
623W4ET#ABU,12.7,,66,46.2
623W1ET#ABU,6,,19.6,34.6
SC20MOUNT,0.085,,,
LU-VND-001-23-EF,,,,
LU-MC-025-23-EF,0.0366,3.4799999999999995,,
PRO8654110,,,,
LU-CPL-001-23-EF,,,,
LU-AN-133-23-EF,0.034,2.13,,
LU-AN-155-23-EF,0.0373,2.23,,
AC-CA-14PR-CH-EF,,,,
LU-VND-002-23-EF,,,,
AC-CA-14-CH-EF,,,,
PRO7805004,,,,
LU-TL-060-23-EF,0.1093,3.5,,
R85980802,,,,
R69370802,,,,
PRO08654010,,,,
R-PF700D-HA0B-UK,,,,
21HF004EUK,1.34,,31.77,1.7899999999999998
83Z44AA#ABU,2.54,,76.2,10.2
60188,,,,
910-006163,0.3939,,6.95,17.5
UH34 DUAL TEAMS,,,17,19.5
SBP-125WMW1,,,,
02635-001,2,3.2,,
02506-001,3.2,4.3,18.3,18.3
02765-002,1.35,,18,5.3
02475-001,0.679,18.5,15.6,12.2
98T44ET#ABU,5.9,,10,30.8
865L4ET#ABU,4.8,,49.9,29.8
863K3ET#ABU,,,55.2,34.5
98P51ET#ABU,,,48.3,30.5
98P46ET#ABU,,,48.3,30.5
98T43ET#ABU,5.9,,10,30.8
98P50ET#ABU,,,55.2,34.5
863K6ET#ABU,,,55.2,34.5
863K4ET#ABU,,,55.2,34.5
863K2ET#ABU,,,55.2,34.5
863K5ET#ABU,,,55.2,34.5
39385,1.02,,24.5,18.5
441-52,0.09,,10,14
441-53,0.081,,7,15.7
THD936GL,,,,
100-99171700-98,,,,
THD935GL,,,,
920-012333,1.24,,,
WHG500B.CE7,,,,
SM-S711BZADEUB,0.209,,7.65,15.8
6262C005,0.4805,,11,13.2
6347C005,2.11,,18.4,31.2
SM-X216BZAEEUB,0.491,,25.71,16.869999999999997
SM-X210NZAEEUB,0.48,80,99.9,120
SM-X210NZSAEUB,0.48,80,99.9,120
SM-X115NZSAEUB,0.333,,12.47,21.1
SM-X115NDBEEUB,0.332,,12.47,21.1
SM-X115NDBAEUB,0.332,,12.47,21.1
SP-LFF3CLAXXXU,0.8,,14,24.3
SM-X110NZSEEUB,0.329,80,123,120
SM-X115NZAEEUB,0.332,,12.47,21.1
SM-X110NZSAEUB,0.329,80,123,120
SM-X216BZSAEUB,0.491,,25.71,16.869999999999997
SM-X115NZAAEUB,0.332,,12.47,21.1
8J8W5AA#ABU,0.395,,23.9,4.4
92L53AA#ABB,,,,
8X2J9A6,0.242,,18.5,20.7
8X228A6,0.152,,17.8,1
7Y215AA,0.54,,20.9,5.5
7S4M6AA,0.35,,9.7,20.6
8X2J8A6,0.221,,18.5,20.7
8X215AA,0.103,,,
8X214A6,0.221,,18.5,20.7
7S4L6AA,,,,
8X228AA,0.242,,18.5,20.7
7S4L0AA,,,18.5,20.7
8X216AA,0.103,,,
9S6-3BC01M-004,5.13,,63,41.1
492-BBUN,,,,
451-BCFT,,,,
VG249QL3A,7.5,,46.5,60
V12H006AZ0,,,,
INC018VFBK,,,,
INC016MYBK,,,,
Z195_3926_GB_CTO,4.43,2,54.7,46.1
Z195_20366_GB_CTO,4.43,2,54.7,46.1
Z195_7535_GB_CTO,4.43,2,54.7,46.1
3G828AT,7.2,,62.5,14.2
85Q26AA,,,,
MP50,5.1,18.8,22.3,12.7
IFP8652-2F,35.5,,142.8,87.8
GN06,7,,,
27E3QK,,,,
V71C,,,,
85S15AA,,,,
85S01AA,,,,
ARC11,,,,
MRW13B/A,,,,
MR7J3B/A,,,,
MQRT3B/A,4.43,2,54.7,46.1
MQRA3B/A,4.43,2,54.7,46.1
N07,5.69,,,
BB-51-P-WS,,,,
96X33ET#ABU,,,6.9,30.5
MUW73B/A,,,,
76U48AA,,,,
MTL83B/A,,,,
77Y85AA,,,,
MRX53B/A,,,,
MQRD3B/A,4.43,2,54.7,46.1
DT.VY3EK.008,,,10.25,33.2
YDQA1720008GYGL,,,20,3.9
GN10,,,,13
GA01,6.6,,71,24.5
064AOTHERCFX,0.8,,,
V71S,,,,
BB-51-P-BR,0.138,,25.76,9.39
80S06A6,0.096,,,
24-1503,0.195,,15.3,23.3
875K5AA,1.27,,26,18.4
76U49AA,0.59,,18.6,5.5
920P3AA,,,,
82Z84AA,1.97,,26.3,21.7
85Q97AA,,,,
880066-0100,,,,
83AL003GUK,1.46,,31.2,1.6
GXJ1N45009,,,26.1,0.8
5M11A37646,,,,
5M11A37641,,,,
100-99160900-99,,,11.2,11.3
90AB3ANK-MR8100,,,11.7,3.7
9H.F9TTB.DE1,66.5,,188,116
9H.F9STB.DE1,51.9,,166.5,104
MQRN3B/A,4.43,2,54.7,46.1
MQRJ3B/A,4.43,2,54.7,46.1
MRX63B/A,,,,
MQRR3B/A,4.43,2,54.7,46.1
MQR93B/A,4.43,2,54.7,46.1
NX.B1BEK.003,1.37,,35.85,1.9899999999999998
MRX73B/A,,,,
MRX83B/A,,,,
MRX33B/A,,,,
MRW73B/A,,,,
MRW43B/A,,,,
MUW63B/A,,,,
MRX43B/A,,,,
MRW33B/A,,,,
MTL73B/A,,,,
MRW63B/A,,,,
MRW23B/A,,,,
MR7K3B/A,,,,
MQRQ3B/A,4.43,2,54.7,46.1
MQRC3B/A,4.43,2,54.7,46.1
NX.B1BEK.004,1.87,,35.85,1.9899999999999998
NX.VYAEK.00N,,,,
6N4E2A5,10.9,,69.9,44.6
6N4D3A5,9.7,,69.9,44.6
4J0G4AAR,0.76,,27.5,14.85
96X30ET#ABU,,,6.9,34.5
96X31ET#ABU,,,6.9,30.5
96X32ET#ABU,,,6.9,30.5
6N4D6A5,11.8,,82,16.1
6N6F2A5,11,,69.9,44.6
6D8H2AA,7.39,,68.5,42.5
40Z32AA#ABU,10.3,,60.3,42.1
356D5AA,5.8,,69,43
34Y22AA,4.7,,61,39.9
2G3D3AA,5.8,,69,43
Z2A7CXWI5ABX,1.04,,27.5,1.7899999999999998
451-BBZX,,,,
90AB3RNG-MRC120,,,12.9,31.8
920-012327,1.24,,,
13NB0NL0P02011,,,,
13NB0M90M01011,,,,
7VH44AA,6.04,,59.8,41.5
LVR-3MUK-SW-UK6,1.3,,53,8
CHDHX-121-RW,0.154,,7.18,5.08
ZG38C05167,,,,
SE2222H,4.4,,12.9,35.510000000000005
100-99280900-99,,,11.2,13.2
90XB06YN-MTO000,,,,
W8Y-00002,,,,
MREW3DH/A,0.061399999999999996,,4.9,
6D8H2E9,7.39,,68.5,42.5
65P56AA#ABB,4.3,,56.7,38.7
82M8004HUK,1.42,,32.4,1.6600000000000001
9C954AA,0.907,,,
6G4E6AA#ABB,0.175,,4.6,10.6
SM-A037GZKNEUA,0.199,,7.590000000000001,16.65
Z2A7CXWI53BX,1.04,,27.5,1.7899999999999998
Z2A7CHWI53BX,1.04,,27.5,1.7899999999999998
D-HPED800G4-MU-T002,9,,39.9,23
21HK0017UK,1.7,,36.19,2.1100000000000003
21HF000NUK,1.34,,31.77,1.7899999999999998
920-011613,0.002,,,
884367-0200,,,,
884367-0300,,,,
SM-X516BZSAEUE,0.524,,25.43,16.580000000000002
N44565-031,,,,
61U3210000A3,6.71,,87.2,26
82YU00GWUK,1.65,,35.92,1.9899999999999998
83FS000LUK,1.65,,35.92,1.9899999999999998
951-000053,,,,
NX.K07EK.00A,1.45,,32.64,2
96X78ET#ABU,,,6.9,30.5
96X28ET#ABU,,,6.9,30.5
96X29ET#ABU,,,6.9,30.5
884367-0100,,,,
01HX524,,,,
129UE-USBC-KVM-DOCK,1.8,,16,9
90MP03F0-BMUA00,0.267,,11,16
451-BCPW,,,,
2TBT3-PCIE-ENCLOSURE,3.4,,28.5,14.3
90NR00S0-R7B010,,,,
967V4ET#ABU,,,6.9,30.5
967V3ET#ABU,,,6.9,30.5
96X27ET#ABU,,,6.9,30.5
967W0ET#ABU,,,6.9,30.5
967V9ET#ABU,,,6.9,30.5
7M1D5AA#ABB,0.094,,10.8,12.7
628D9ET#ABU,12.5,,62.8,67.5
623W7ET#ABU,3.4,,49.8,13.2
628D8ET#ABU,12.5,,62.8,67.5
623W9ET#ABU,3.4,,49.8,13.2
628X7ET#ABU,7.25,,39.4,49.9
628X6ET#ABU,7.25,,39.4,49.9
622R2ET#ABU,2.95,,49.8,23.5
K7X27AA,3.5,,48.2,35.92
2H5M7AA,8.8,,82.3,52.7
SP1DZACSSDXX,2.38,,35,3.85
VE1821-AT-G,,,,
83FR0007UK,1.43,,32.42,1.9899999999999998
21FE000LUK,2.2,,36.5,2.4699999999999998
83FS000QUK,1.65,,35.92,1.9899999999999998
450-AIYY,,,,
21HK004CUK,1.7,,36.19,2.1100000000000003
SM-R400NZAADBT,,,,
12JV0004UK,12.4,,57,76.3
6182C005,0.75,,25,20
M07090-001,,,,
67ABKAC4EU,5.9,1.8,72,45.2
CR40-1S0T-TC2-G-02,,,,
SMTL3000RMI2UCNC,41.5,,60,45.8
04W3054,,,,
XB2779QS-W1,,,,
2003919,,,,
B0BL5VQ67R,0.434,,24.6,0.86
B0BL6HT82W,0.6581,,25.6,1.6300000000000001
B0BL6GJVZS,0.6581,,25.6,1.6300000000000001
B0BL5QHW4M,0.67367,,26.689999999999998,2.69
B0BL5RH8TF,0.67367,,26.689999999999998,2.69
B0BL5NK2J4,0.434,,24.6,0.86
GR437,0.286,,29.4,4.6
210-BDDU,14.9,,,
7PY0D,,,,
WH1000XM5L.CE7,,,,
WF1000XM5B.CE7,,,9.8,8.8
12QN0004UK,0.22,,22.6,3.75
NSA-UK,0.502,,17.2,16.3
12QJ0004UK,1.1,,22.6,3.75
12BW0004UK,3.55,,70,11
12BS0005UK,,,,
11LR000BUK,1.1,,22.6,3.75
NX.KRAEK.002,1.68,,36.06,1.9899999999999998
NX.KE5EK.002,1.45,,,
NX.KKAEK.002,,,,
L62440-031,,,,
TAPO RV30C,,,34.260000000000005,9.5
ZA6W0215ES,0.42,,24.15,0.825
XUB2794QSU-B6,6.6,,69.1,14.2
PA34VCNV,16.3,,108,190
399771-B21,3.62,,18.740000000000002,41.42
16812558,0.041,1.6199999999999999,4.2299999999999995,4.4399999999999995
PA169CDV,5.95,,53.9,10.75
X1504ZA-NJ194W,1.7,,35.97,1.7899999999999998
MB16AHV,2.1,,45,29.7
XU2794QSU-B6,5.1,,68.8,12.5
16812584,0.041,1.6199999999999999,4.2299999999999995,4.4399999999999995
NX.AA6EK.002,1.2,,31,1.56
693709-001,,,,
2003917,,,,
SIP-T58W PRO,,,,
SBP-250HMW,,,,
SM-X516BZAAEEB,8.24,115.8,80,120
LS57CG952NUXXU,26.8,1.5,145.5,42
63D1RAT1UK,14.4,1.8,95,52.5
A20-020,,,60,3.2
LIC-GOLD-ZZ2Y08F,,,,
LIC-GOLD-ZZ1Y06F,,,,
LIC-GOLD-ZZ1Y05F,,,,
LIC-GOLD-ZZ2Y07F,,,,
LIC-GOLD-ZZ1Y08F,,,,
946-000020,0.185,,3,40
7VH95AA,7,,62.010000000000005,49.86
LVT-HL1010W,0.0046,500,20,25
SBV-A14B,,,,
880066-0200,,,,
21JT000FUK,1.81,,35.61,1.9899999999999998
640-95,17.5,,75,30
VA2408-MHDB,4.4,,60.5,40
21JN004RUK,1.81,,35.61,1.9899999999999998
13NR0270AM0111,,,,
640-96,18,,75,30
AFRB-MM100BP5,,,,
E9PD7LD01EZ2,4.2,,,
920-011851,,,,
VPC-A31-O1,1.2,,,
DELL-N9RDH,,,,
EVSWFC20A,3.01,3,5.2,100
EVMIFC20A,,3,5.2,100
EVMIF132X,,3,,
EVMAF116A,,3,,
EVSWF316A,3.01,3,5.2,100
EVMIF332X,,3,,
EVMAF132X,,3,,
EVBAFC20A,,3,,
IEUHBSTPROANCRBLK4,,,,
ANO-L6022R,0.39,0.4,,
EVMIF116A,,3,,
EVBAF116A,,3,,
EVSWF132A,3.01,3,5.2,173
EVMAF132A,,3,5.2,173
EVMIF132A,3.8,3,5.2,
EVMAFC20A,,,5.2,100
DSKCRNRSLV,5,63.5,33.2,No
EVSWF116A,3.01,3,5.2,100
63A2GAT1UK,,,,
DELL-RM6KC,,,,
LS560W,2.45,,29.3,11.5
VG3456C,14.7,,92,48.2
910-007230,,,,
PS-S02D,,,,
32118,0.026,,13.6,
TAPO L535E,,,,
TAPO C200P2,,0.4,8.540000000000001,11.77
21K30015UK,1.39,,31.77,1.7899999999999998
VG2408A-MHD,6.8,,60.9,39.8
MFKVP,,,,
GR5D3,0.472,,28.2,4.2
451-BCDM,,,,
XG259QN,7.4,,66,47.2
VG2708A-MHD,7.7,,67.9,45.6
VG2708A,7.7,,67.9,45.6
451-BBSE,,,,
1V0PP,,,,
VG3419C,13.5,,98,52.6
69264,,,,
TAPO C310P2,,0.39,14.23,6.43
VG2408A,6.8,,60.9,39.8
NX.EGYEK.00H,,,,
NX.EGYEK.00G,,,,
NX.EGYEK.00D,,,,
ROOMPANEL PLUS,0.627,,24.759999999999998,2.65
GWAVR4K,0.068,,,
N2WHT,0.04212,,,
N2PUR,0.04212,,,
A1PUR,0.0358,,,
A1PNK,0.0358,,,
N2PNK,0.04212,,,
F2BLK,0.41,,10.6,10.6
A1SIE,0.0358,,,
F2WHT,0.41,,10.6,10.6
A1BLK,0.0358,,,
N2PROBLK,0.047,,,
M1SUCL002132,,,,
M1SPCL002131,,,,
M1SFCL002129,,,,
943-000806,0.598,,9,41.4
A1BLU,0.0358,,,
M1SSCL002130,,,,
N2BLK,0.04212,,,
A1WHT,0.0358,,,
VK112EUTTK-AT,,,,
P2DD46A2-KVM-SWITCH,1.3,,16,19.2
VK0200TTK-AT,,,,
VY229Q,4.31,,56.5,41.2
RNUC12WSKI70001,,,,
MR.JVL11.003,2.9,15.84,31.3,11.07
NDI-5502-A,0.45,3,,10.2
63B2MAT6UK,7.3,1.8,59.2,42.1
Z2F-00004,1.98,,32.3,2.2
YZZ-00004,1.98,,32.3,2.2
ZRG-00004,1.89,,32.3,2.2
Z3H-00004,1.98,,32.3,2.2
XKS-00003,1.13,,27.8,1.5699999999999998
XIG-00003,0.521,,24.5,0.8300000000000001
Z1T-00004,1.98,,32.3,2.2
Z1J-00004,1.98,,32.3,2.2
XGT-00003,0.521,,24.5,0.8300000000000001
XK3-00003,1.13,,27.8,1.5699999999999998
451-BBZG,,,,
100-99280901-99,,,11.2,13.2
38348,0.54,,15.2,9.5
BTRY-HC2L5L-2XMAXB,,,,
BTRCUP-HC2L5L-01,,,,
90YE00L6-B0NA00,4.9,,33.9,13.5
0A001-00053800,,,,
WLMT0-H50D8BBK1-A6,0.242,,7.63,16.5
90MP0320-BMUA00,0.174,,15.3,5.5
90MP03G0-BPUA00,0.606,,9,41
0B200-03200100,,,,
0A001-00056000,,,,
0A001-00051200,,,,
0A001-00052800,,,,
KT.00304.012,,,,
ZAC00008SE,0.408,,19.5,0.55
8RYHX,0.24,,35.68,1.57
34CN650N-6N.AEK,12,,94,49
6T2A2EA#ABU,,,6.9,30.5
PRO MP275,5.17,,68.8,44.8
DELL-V217P,,,,
TW2223AS-B1,3.61,,50.45,30.2
926M1ES#ABU,1.32,,32.339999999999996,1.7899999999999998
816R4EA#ABU,,,6.9,30.5
5Z579ES#ABU,,,6.9,30.5
83A1002WUK,1.65,,35.92,1.9899999999999998
VG34VQL3A,11.3,,91.5,49.5
XUB2794HSU-B6,6.6,,69.1,14.2
21HF000QUK,1.34,,31.77,1.7899999999999998
UBZ-LJ9SET,,,,
90XB08L0-BBP020,,,46,33
GDKBNJ,1.43,,30.75,2.1
QAU-00069,0.49,,17.7,7.2
SFA107EC,,,,
SM-R400NZAAEUA,0.14809999999999998,,8.629999999999999,9.540000000000001
SM-R400NZWAEUA,0.14809999999999998,,8.629999999999999,9.540000000000001
MUV83ZM/A,,,,
MUUR3ZM/A,,,,
MUJY3ZM/A,,,,
MU163ZD/A,0.201,2.6,7.779999999999999,16.09
MTVF3ZD/A,0.187,2.4,7.06,14.66
MTV13ZD/A,0.187,2.4,7.06,14.66
MTP63ZD/A,0.171,2.6,7.159999999999999,14.76
MTP23ZD/A,0.171,2.6,7.159999999999999,14.76
MTP03ZD/A,0.171,2.6,7.159999999999999,14.76
MT5F3ZM/A,,,,
MT593ZM/A,,,,
MT3U3ZM/A,,,,
MT3K3ZM/A,,,,
MT1G3ZM/A,,,,
MT0Q3ZM/A,,,,
MRYG3QA/A,0.039,,4.5,
MRHW3QA/A,0.032100000000000004,,4.1,
MRHV3QA/A,0.032100000000000004,,4.1,
MRHR3QA/A,0.032100000000000004,,4.1,
MRHJ3QA/A,,,,
MRH23QA/A,,,,
MRGQ3QA/A,,,,
MR973QA/A,0.038700000000000005,,4.5,
MR963QA/A,0.038700000000000005,,4.5,
MUV53ZM/A,,,,
MUV13ZM/A,,,,
MUUW3ZM/A,,,,
MU2F3ZM/A,,,,
MU193ZD/A,0.201,2.6,7.779999999999999,16.09
MU0Y3ZD/A,0.201,2.6,7.779999999999999,16.09
MTVD3ZD/A,0.187,2.4,7.06,14.66
MTV93ZD/A,0.187,2.4,7.06,14.66
MTPH3ZD/A,0.171,2.6,7.159999999999999,14.76
MTJ73ZM/A,,,,
MT5R3ZM/A,,,,
MT443ZM/A,,,,
MT3W3ZM/A,,,,
MT163ZM/A,,,,
MRJ13QA/A,0.032100000000000004,,4.1,
MRH83QA/A,,,,
MRGE3QA/A,,,,
MRE63QA/A,,,,
MR9V3QA/A,,,,
MR9U3QA/A,,,,
MR9E3QA/A,0.038700000000000005,,4.5,
MR913QA/A,0.0319,,4.1,
MR8Y3QA/A,0.0319,,4.1,
MR8U3QA/A,0.0319,,4.1,
MR903QA/A,0.0319,,4.1,
MR8X3QA/A,0.0319,,4.1,
MUVD3ZM/A,,,,
MUV63ZM/A,,,,
MUUV3ZM/A,,,,
MUUP3ZM/A,,,,
MU7K3ZD/A,0.221,2.4,7.67,15.99
MU7E3ZD/A,0.221,2.4,7.67,15.99
MTVA3ZD/A,0.187,2.4,7.06,14.66
MTV53ZD/A,0.187,2.4,7.06,14.66
MTPA3ZD/A,0.171,2.6,7.159999999999999,14.76
MTP83ZD/A,0.171,2.6,7.159999999999999,14.76
MTP13ZD/A,0.171,2.6,7.159999999999999,14.76
MT5H3ZM/A,,,,
MT573ZM/A,,,,
MT493ZM/A,,,,
MT463ZM/A,,,,
MT3V3ZM/A,,,,
MT313ZM/A,,,,
MT2T3ZM/A,,,,
MT1F3ZM/A,,,,
MT173ZM/A,,,,
MU7F3ZD/A,0.221,2.4,7.67,15.99
MU1F3ZD/A,0.201,2.6,7.779999999999999,16.09
MTJV3ZM/A,,,,
MTJQ3ZM/A,,,,
MT473ZM/A,,,,
MT323ZM/A,,,,
MT1H3ZM/A,,,,
MRXJ3QA/A,0.038700000000000005,,4.5,
MRMJ3QA/A,0.039,,4.5,
MRMF3QA/A,0.039,,4.5,
MRJ93QA/A,0.0423,,4.1,
MRJ03QA/A,0.032100000000000004,,4.1,
MRHM3QA/A,,,,
MRH53QA/A,,,,
MRGX3QA/A,,,,
MRG73QA/A,,,,
MRG43QA/A,,,,
MRG13QA/A,,,,
MRF53B/A,0.061399999999999996,,4.9,
MREW3B/A,0.061399999999999996,,4.9,
MRE93QA/A,,,,
MR9D3QA/A,0.038700000000000005,,4.5,
MR993QA/A,0.038700000000000005,,4.5,
MR953QA/A,0.0319,,4.1,
MR8V3QA/A,0.0319,,4.1,
MRMA3QA/A,0.039,,4.5,
MRJA3QA/A,0.0423,,4.1,
MRJ23QA/A,0.0423,,4.1,
MRHX3QA/A,0.032100000000000004,,4.1,
MRHQ3QA/A,0.032100000000000004,,4.1,
MRFX3QA/A,,,,
MRF23B/A,0.061399999999999996,,4.9,
MREA3QA/A,,,,
MRE03QA/A,,,,
MR9G3QA/A,0.038700000000000005,,4.5,
MR9C3QA/A,0.038700000000000005,,4.5,
MR983QA/A,0.038700000000000005,,4.5,
MUVC3ZM/A,,,,
MTV73ZD/A,0.187,2.4,7.06,14.66
MTPC3ZD/A,0.171,2.6,7.159999999999999,14.76
MTP43ZD/A,0.171,2.6,7.159999999999999,14.76
MTJL3ZM/A,,,,
MT5L3ZM/A,,,,
MT4F3ZM/A,,,,
MT2Y3ZM/A,,,,
MT1J3ZM/A,,,,
MT183ZM/A,,,,
MRYE3QA/A,0.039,,4.5,
MU183ZD/A,0.201,2.6,7.779999999999999,16.09
MU173ZD/A,0.201,2.6,7.779999999999999,16.09
MTV83ZD/A,0.187,2.4,7.06,14.66
MTP93ZD/A,0.171,2.6,7.159999999999999,14.76
MT4W3ZM/A,,,,
MT413ZM/A,,,,
MRY83QA/A,0.032100000000000004,,4.1,
MRXG3QA/A,0.0319,,4.1,
MUVE3ZM/A,,,,
MUUN3ZM/A,,,,
MUUL3ZM/A,,,,
MU7C3ZD/A,0.221,2.4,7.67,15.99
MTJV3DN/A,,,,
MTJF3ZM/A,,,,
MT4U3ZM/A,,,,
MT143ZM/A,,,,
MRMR3QA/A,0.0515,,4.5,
MRMN3QA/A,0.0515,,4.5,
MRMH3QA/A,0.039,,4.5,
MRGM3QA/A,,,,
MREJ3B/A,0.061399999999999996,,4.9,
MREF3QA/A,,,,
MR9J3QA/A,0.038700000000000005,,4.5,
MR923QA/A,0.0319,,4.1,
MRMT3QA/A,0.0515,,4.5,
MRHY3QA/A,0.032100000000000004,,4.1,
MRER3B/A,0.061399999999999996,,4.9,
MREQ3B/A,0.061399999999999996,,4.9,
MRE43QA/A,,,,
MR943QA/A,0.0319,,4.1,
MR8T3QA/A,0.0319,,4.1,
MRMP3QA/A,0.0515,,4.5,
MRML3QA/A,0.039,,4.5,
MRJ83QA/A,0.0423,,4.1,
MRGJ3QA/A,,,,
MRGA3QA/A,,,,
MREP3B/A,0.061399999999999996,,4.9,
MREK3B/A,0.061399999999999996,,4.9,
MRE23QA/A,,,,
MR9Y3QA/A,,,,
MR9W3QA/A,,,,
MR9H3QA/A,0.038700000000000005,,4.5,
MR9F3QA/A,0.038700000000000005,,4.5,
MUJW3ZM/A,,,,
MU1G3ZD/A,0.201,2.6,7.779999999999999,16.09
MU103ZD/A,0.201,2.6,7.779999999999999,16.09
MTPD3ZD/A,0.171,2.6,7.159999999999999,14.76
MT5X3ZM/A,,,,
MT503ZM/A,,,,
MT4L3ZM/A,,,,
MT3Y3ZM/A,,,,
MT3Q3ZM/A,,,,
MT263ZM/A,,,,
MRMV3QA/A,0.0515,,4.5,
MRMQ3QA/A,0.0515,,4.5,
MRMG3QA/A,0.039,,4.5,
MRHN3QA/A,0.032100000000000004,,4.1,
MRHF3QA/A,,,,
MRHC3QA/A,,,,
MRGU3QA/A,,,,
MREX3B/A,0.061399999999999996,,4.9,
MRET3B/A,0.061399999999999996,,4.9,
MREC3QA/A,,,,
MRE73QA/A,,,,
MRE53QA/A,,,,
MRE33QA/A,,,,
PA-7B2BB-UK,,,,
SP7208-SV4U2100TZW,0.577,660,15.2,13.7
F5CASE-1GR-WW1,,,,
SM-X610NLGEEUB,9.39,115.8,80,120
SM-X510NZAAEUB,8.23,115.8,80,120
SM-X616BZAEEUB,0.628,,28.54,18.54
SM-X616BZAAEUB,9.4,115.8,80,120
SM-X516BZAAEUB,8.24,115.8,80,120
TUPS031,1.21,,,
TUPS032,1.21,,,
83E1000MUK,2.76,,48.5,17
83FS000CUK,1.65,,35.92,1.9899999999999998
W8Z-00002,0.25,1.7,9,2.5
L67436-B31,0.368,,28.73,0.49000000000000005
4CF02AA#ABB,0.84,,4,44.5
73425,0.06,,8,4.5
43378,1.73,,45,34.5
38368,0.1916,,6.5,2.7
38362,0.175,,14.6,6.5
38349,0.94,,24.5,18.5
38313,0.482,,40,1.7
38261,,,,
38363,0.174,,14.6,6.5
73134,,,,
43377,0.201,,10.3,17.4
82KU0278UK,1.65,,35.92,1.9899999999999998
UNIVK-LAPTOP-LOCK,,,15,2
885M1EA#ABU,3.4,,49.8,13.2
885M2EA#ABU,3.4,,49.8,13.2
6U4R9EA#ABU,7.25,,39.4,49.9
86C97EA#ABU,9.24,,28.7,49.9
6U4R8EA#ABU,7.25,,39.4,49.9
760858-0010,,,,
S37-4300010-SV1,0.727,,,
TD9882DI53XX,0.88,,22.7,2.4
DS-55529,0.97,,24,8
DS-55530,0.35,,11.7,7.7
VA27DQF,6.3,,68.4,44.5
V11HB07040,7.4,0.37,46.7,15.3
VZ27EHF-W,5.19,,67.8,53.2
819F9EA#ABU,,,6.9,30.5
T7B66AA,,,,
5RD65AA,4.05,,54.3,34.9
XQZCBDEH.ROW,,,,
LVT-CABLEMOUNT-50W,0.18,15,1.2,
LVT-HL01512-50W,0.18,15,1.2,
LVT-CABLESTRAPS2012-10MULTI,0.18,15,1.2,
LVT-CABLESTRAPS1512-10MULTI,0.18,15,1.2,
LVT-HL1015B,0.0046,500,20,25
LVT-HL03012-50W,0.18,15,1.2,
LVT-HL02012-50W,0.18,15,1.2,
LVT-HL1015W,0.0046,500,20,25
LVT-HL1020W,0.0046,500,20,25
UC2324,0.594,,5.9,16
PE1316SG,2.65,3,4.4399999999999995,6
PE1324SG,3.55,3,4.4399999999999995,6
DELL-X0GKN,,,,
90YH03A2-B1UA00,0.287,1.2,,
1C4Z5AT,7.6,,62.5,14.2
F5FPHN-2BL-EU1,0.212,,7.58,0.96
F5FPHN-2ZW-EU1,0.212,,7.58,0.96
F5PRTC-1PF-WW1,0.0124,,,
SP2NZA3SSDXI,2.38,,35,3.85
F5FPHN-2TL-EU1,0.212,,7.58,0.96
AORUS 15X AKF-B3UK754SH,2.6,,35.7,1.97
FP3AT6TI1AHS,1.52,,31.4,2.5
ARN-1610S,2.88,,37,4.4
939-002071,0.56,,9.4,19.3
BLN2-ODB,0.255,,5.8,19
XS2-DPB,,,,
XS2-APB,,,,
SBV-140BW,,,,
E131375,4.62,,47,33.1
TAPO P110M,,,7.25,3.06
WHM631,,,15,5.8
KBD-DIGITAL,1.1,,32.7,7.5
452-BDVC,,,,
0B200-03520100,,,,
0B200-03350500,,,,
L94493-001,,,,
2006255,,30.5,15,
W78P,6.84,,,
C2-H46-UC2-PD-KVM,0.44,,12,8.5
KD32W800P1U,7,,80.1,51.6
9VF96AT,8,,52.160000000000004,48.980000000000004
8MB10AA,5.59,,54.06,46.33
6Y7L2AA,0.259,,12.4,6.3
678U8AA,11.3,,69.2,46.9
2D9K1E9,4.7,,61,39.9
SP7201-SH00004SCWW,0.864,660,15.2,15.2
SP7201-SH00004DCWW,0.834,660,15.2,15.2
SP7201-SV00004ZCWW,0.577,660,15.2,13.7
SP7208-SH00004DCWW,0.834,660,15.2,15.2
SP7208-SV00004ZCWW,0.577,660,15.2,13.7
SP7201-SV00004ZZWW,0.577,660,15.2,13.7
KL.1400E.009,,,,
KP.04501.017,,,,
5N21D67994,,,,
VS381B,0.15,,600,2.55
815-088-001,,,,
66F3GAC2UK,8,1.8,78.9,46.3
90XB0820-BDS000,,,,
5W627EA#ABU,3.4,,49.8,13.2
55020BGU,,,12,6.5
